 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80
time                 
1951.246575342 3.110057134 3.110057134 2.583355250 2.039114583 1.942881936 1.130012958 2.700004052 0.720725066 1.280014527 1.526686359 1.825021783 3.485089677 3.112160125 8.972599306 4.817863936 5.650507164 21.007741206
1951.328767123 3.110058648 3.110058648 2.583355609 2.039115184 1.942882487 1.130013270 2.700004430 0.720725799 1.280014789 1.526684885 1.825024866 3.485092722 3.111994972 8.972517005 4.817786042 5.650463420 21.005873319
1951.413698630 3.110054485 3.110054485 2.583353846 2.039113451 1.942880494 1.130012168 2.700003443 0.720724246 1.280013787 1.526688424 1.825016073 3.485074809 3.112421443 8.972707822 4.818002005 5.650586972 21.010981490
1951.495890411 3.110044919 3.110044919 2.583348916 2.039109923 1.942875107 1.130009264 2.700002647 0.720722753 1.280009672 1.526677933 1.825011884 3.485062575 3.111938997 8.972412194 4.817706728 5.650255664 21.003962358
1951.580821918 3.110026680 3.110026680 2.583340344 2.039103188 1.942866120 1.130004169 2.700000500 0.720718169 1.280004000 1.526673580 1.825002239 3.485024043 3.112123085 8.972588048 4.817819963 5.650299166 21.010526459
1951.665753425 3.110007694 3.110007694 2.583335058 2.039098438 1.942859509 1.130001026 2.700000000 0.720715249 1.280000926 1.526668723 1.825000000 3.485005152 3.111906078 8.972394821 4.817619624 5.650107335 21.006690474
1951.747945205 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.111637360 8.972330151 4.817460617 5.650000000 21.007454174
1951.832876712 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.111444869 8.972295851 4.817300199 5.650000000 21.008894615
1951.915068493 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.111227420 8.972093867 4.817019369 5.650000000 21.004704816
1952.000000000 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110593165 8.972093867 4.816797202 5.650000000 21.009694487
1952.084931507 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110695138 8.972093867 4.816686336 5.650000000 21.004610503
1952.161643836 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110273568 8.972093867 4.816666667 5.650000000 21.005957862
1952.246575342 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.005630625
1952.328767123 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.003979629
1952.413698630 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.004629881
1952.495890411 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.003631711
1952.580821918 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.002862732
1952.665753425 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.003127785
1952.747945205 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.002430882
1952.832876712 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.001932680
1952.915068493 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.002634854
1953.000000000 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000783520
1953.084931507 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.002448900
1953.161643836 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.001386351
1953.246575342 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.001450513
1953.328767123 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.001872818
1953.413698630 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.000615689
