 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -78 -76 -74 -72 -70 -68 -66 -64 -62 -60 -58 -56 -54 -52 -50 -48 -46 -44 -42 -40 -38 -36 -34 -32 -30 -28 -26 -24 -22 -20 -18 -16 -14 -12 -10 -8 -6 -4 -2 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88
time                                                                                     
1950.747945205 9.650000000 4.977467826 2.942158823 1.971562495 1.481671904 1.235380910 1.130491623 1.123211944 1.198655159 1.359174651 1.620000000 2.007815412 2.559834292 3.321157731 4.337774893 5.642280320 7.230406696 9.030285729 10.873797386 12.488556379 13.533333333 13.734292132 13.128428579 11.927716829 10.393771130 8.765836777 7.220232069 5.861106681 4.731642614 3.833374301 3.145000000 2.632978234 2.253791993 1.973590313 1.768941441 1.623752576 1.527259596 1.472750409 1.456818302 1.479034282 1.542000000 1.650527279 1.807761602 2.017668878 2.285383506 2.616247983 3.014529359 3.481697946 4.014244265 4.601164917 5.221475835 5.847112962 6.460678228 7.048877019 7.599477406 8.101888722 8.547603128 8.930478573 9.246858307 9.495537163 9.677596627 9.796863655 9.861788765 9.882869819 9.871402557 9.839039924 9.797478452 9.758280731 9.732834939 9.732448854 9.768576596 9.853181640 9.999249405 10.221477675 10.537194635 10.967585187 11.539351157 12.286997914 13.256041757 14.507590516 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.832876712 9.650001233 4.977468959 2.942159681 1.971563132 1.481672388 1.235381290 1.130491926 1.123212184 1.198655337 1.359174754 1.620000000 2.007815262 2.559833926 3.321157058 4.337773818 5.642278765 7.230404663 9.030283376 10.873795107 12.488554828 13.533333333 13.734294366 13.128433129 11.927723154 10.393778325 8.765843884 7.220238311 5.861111557 4.731645884 3.833375915 3.145000000 2.632976716 2.253789190 1.973586527 1.768936982 1.623747758 1.527254745 1.472745893 1.456814580 1.479031974 1.542000000 1.650530866 1.807770404 2.017684946 2.285409405 2.616286838 3.014584811 3.481773986 4.014344867 4.601293450 5.221634235 5.847301044 6.460894221 7.049117828 7.599738755 8.102165370 8.547889140 8.930767621 9.247143974 9.495813228 9.677857310 9.797103871 9.862004488 9.883058170 9.871561758 9.839169197 9.797577890 9.758351144 9.732877711 9.732465818 9.768569930 9.853153808 9.999203137 10.221416007 10.537121025 10.967503719 11.539266879 12.286917370 13.255973801 14.507547569 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1950.915068493 9.650008327 4.977472729 2.942161946 1.971564657 1.481673527 1.235382222 1.130492757 1.123212979 1.198656145 1.359175618 1.620000961 2.007816359 2.559835195 3.321158529 4.337775499 5.642280633 7.230406644 9.030285332 10.873796844 12.488556130 13.533334018 13.734294365 13.128432550 11.927722228 10.393777322 8.765843037 7.220237776 5.861111411 4.731646145 3.833376566 3.145001018 2.632978073 2.253790823 1.973588354 1.768938918 1.623749715 1.527256626 1.472747587 1.456815941 1.479032802 1.542000000 1.650529603 1.807767259 2.017679045 2.285399532 2.616271335 3.014561476 3.481739982 4.014296686 4.601226966 5.221544913 5.847184431 6.460746872 7.048937995 7.599526920 8.101924658 8.547625575 8.930490208 9.246864607 9.495546441 9.677619908 9.796913693 9.861876761 9.883004390 9.871589654 9.839282932 9.797778417 9.758636642 9.733244028 9.732906851 9.769077905 9.853719387 9.999815322 10.222061765 10.537784542 10.968165159 11.539900430 12.287488248 13.256433680 14.507827594 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1951.000000000 9.650034121 4.977489898 2.942173766 1.971573324 1.481680349 1.235387981 1.130497942 1.123217919 1.198661078 1.359180726 1.620006377 2.007822165 2.559841395 3.321165015 4.337782021 5.642286799 7.230411993 9.030289518 10.873799921 12.488558842 13.533337874 13.734301161 13.128443215 11.927736452 10.393793851 8.765860223 7.220254081 5.861125703 4.731657767 3.833385254 3.145006753 2.632980995 2.253791300 1.973586859 1.768935939 1.623745729 1.527252112 1.472743059 1.456812012 1.479030272 1.542000000 1.650533757 1.807777752 2.017698814 2.285432516 2.616322726 3.014637934 3.481849754 4.014449522 4.601433711 5.221816650 5.847531151 6.461176159 7.049453949 7.600129241 8.102607968 8.548379048 8.931297513 9.247704170 9.496391981 9.678441174 9.797678564 9.862557078 9.883577862 9.872040043 9.839599842 9.797956789 9.758676091 9.733148134 9.732682498 9.768734755 9.853269564 9.999273380 10.221445028 10.537113933 10.967466690 11.539207632 12.286845963 13.255903913 14.507498530 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1951.084931507 9.650061960 4.977507213 2.942185282 1.971581614 1.481686817 1.235393426 1.130502855 1.123222630 1.198665831 1.359185718 1.620011772 2.007828092 2.559847923 3.321172121 4.337789539 5.642294385 7.230419130 9.030295608 10.873804490 12.488561811 13.533339778 13.734303049 13.128446045 11.927740717 10.393799525 8.765866912 7.220261240 5.861132817 4.731664448 3.833391269 3.145011997 2.632985454 2.253795025 1.973589925 1.768938426 1.623747706 1.527253638 1.472744177 1.456812750 1.479030643 1.542000000 1.650533336 1.807776657 2.017696473 2.285427877 2.616314028 3.014622398 3.481823198 4.014405948 4.601364938 5.221712152 5.847378682 6.460964186 7.049173396 7.599774826 8.102179350 8.547881679 8.930743130 9.247110905 9.495784097 9.677848496 9.797134185 9.862090440 9.883212489 9.871793268 9.839482967 9.797975561 9.758831348 9.733436513 9.733097089 9.769265613 9.853903998 9.999995926 10.222237014 10.537952499 10.968323064 11.540044352 12.287612554 13.256530242 14.507884576 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1951.161643836 9.650074796 4.977515563 2.942191009 1.971585840 1.481690185 1.235396321 1.130505522 1.123225243 1.198668530 1.359188626 1.620015011 2.007831773 2.559852145 3.321176948 4.337794967 5.642300304 7.230425295 9.030301642 10.873809946 12.488566298 13.533343118 13.734305373 13.128447716 11.927742157 10.393801074 8.765868769 7.220263470 5.861135395 4.731667307 3.833394342 3.145015243 2.632988850 2.253798516 1.973593437 1.768941875 1.623751002 1.527256676 1.472746822 1.456814820 1.479031874 1.542000000 1.650531558 1.807772537 2.017689498 2.285417684 2.616300582 3.014606285 3.481806041 4.014390944 4.601357462 5.221720300 5.847413126 6.461036124 7.049293114 7.599950600 8.102416444 8.548181514 8.931102709 9.247522514 9.496235302 9.678322393 9.797610783 9.862550983 9.883640987 9.872176828 9.839811865 9.798243110 9.759033638 9.733572074 9.733166543 9.769271361 9.853849986 9.999887536 10.222081115 10.537757724 10.968100390 11.539808100 12.287382019 13.256332252 14.507757496 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1951.246575342 9.650086322 4.977522943 2.942195982 1.971589436 1.481692988 1.235398669 1.130507623 1.123227234 1.198670509 1.359190667 1.620017165 2.007834072 2.559854588 3.321179488 4.337797502 5.642302677 7.230427323 9.030303195 10.873811058 12.488567286 13.533344606 13.734308091 13.128452035 11.927747939 10.393807798 8.765875756 7.220270091 5.861141186 4.731672001 3.833397833 3.145017524 2.632989979 2.253798644 1.973592759 1.768940592 1.623749311 1.527254774 1.472744922 1.456813176 1.479030817 1.542000000 1.650533272 1.807776757 2.017697164 2.285429894 2.616318572 3.014631337 3.481839313 4.014433190 4.601408648 5.221779139 5.847476850 6.461101235 7.049355875 7.600007379 8.102464055 8.548217544 8.931125777 9.247532465 9.496233308 9.678310979 9.797593535 9.862531473 9.883622384 9.872161807 9.839802560 9.798241113 9.759040029 9.733587460 9.733191116 9.769304942 9.853892059 9.999937256 10.222137288 10.537818738 10.968164081 11.539871533 12.287441127 13.256381280 14.507788126 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1951.328767123 9.650090151 4.977524979 2.942197207 1.971590262 1.481693607 1.235399178 1.130508077 1.123227671 1.198670955 1.359191145 1.620017697 2.007834678 2.559855288 3.321180292 4.337798408 5.642303656 7.230428310 9.030304081 10.873811693 12.488567506 13.533344281 13.734307190 13.128450670 11.927746327 10.393806185 8.765874351 7.220269032 5.861140540 4.731671778 3.833398011 3.145018072 2.632990865 2.253799806 1.973594122 1.768942077 1.623750840 1.527256263 1.472746276 1.456814271 1.479031487 1.542000000 1.650532244 1.807774205 2.017692404 2.285421998 2.616306298 3.014613071 3.481813024 4.014396434 4.601358644 5.221712951 5.847391716 6.460994994 7.049227299 7.599856443 8.102292151 8.548027596 8.930922282 9.247321429 9.496022109 9.678108168 9.797408227 9.862371626 9.883494241 9.872069851 9.839749581 9.798228356 9.759067391 9.733653697 9.733294028 9.769441524 9.854058580 10.000129253 10.222349451 10.538044636 10.968395691 11.540098478 12.287649491 13.256551787 14.507893345 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1951.413698630 9.650078979 4.977517297 2.942191907 1.971586427 1.481690660 1.235396775 1.130506011 1.123225817 1.198669245 1.359189555 1.620016250 2.007833452 2.559854429 3.321180021 4.337799005 5.642305399 7.230431337 9.030308174 10.873816035 12.488570543 13.533343894 13.734301451 13.128439111 11.927730100 10.393787456 8.765855512 7.220252094 5.861126844 4.731662005 3.833392352 3.145016458 2.632993069 2.253805264 1.973602102 1.768951820 1.623761586 1.527267225 1.472756573 1.456822815 1.479036810 1.542000000 1.650523959 1.807754119 2.017656459 2.285365605 2.616224585 3.014501442 3.481668155 4.014217757 4.601150312 5.221486063 5.847165139 6.460790965 7.049068518 7.599763956 8.102283263 8.548114019 8.931108659 9.247604352 9.496389664 9.678539991 9.797877509 9.862852033 9.883962430 9.872506118 9.840138148 9.798557360 9.759328656 9.733842386 9.733408233 9.769481878 9.854027948 10.000032558 10.222193685 10.537839156 10.968152871 11.539834887 12.287387843 13.256324033 14.507745546 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
1951.495890411 9.650067737 4.977510759 2.942187576 1.971583202 1.481687994 1.235394357 1.130503630 1.123223302 1.198666425 1.359186239 1.620012204 2.007828394 2.559848027 3.321171927 4.337788930 5.642293252 7.230417439 9.030293490 10.873802343 12.488560345 13.533339927 13.734305633 13.128451234 11.927747978 10.393807891 8.765875329 7.220268830 5.861138994 4.731668920 3.833393956 3.145012934 2.632984744 2.253792911 1.973586721 1.768934456 1.623743292 1.527249112 1.472739912 1.456809203 1.479028429 1.542000000 1.650536796 1.807785093 2.017711691 2.285452003 2.616349457 3.014671627 3.481888495 4.014488824 4.601465414 5.221827865 5.847504422 6.461093247 7.049298440 7.599888496 8.102274901 8.547953573 8.930787545 9.247126104 9.495770665 9.677809418 9.797074431 9.862015354 9.883127168 9.871702364 9.839390560 9.797885090 9.758745607 9.733357670 9.733026741 9.769204852 9.853853471 9.999955897 10.222207399 10.537932882 10.968312673 11.540041971 12.287616368 13.256537550 14.507891321 16.125000000 16.125000000 16.125000000 16.125000000 16.125000000
